time	soil_moist(1)	soil_moist(2)	soil_moist(3)	soil_rechr(1)	soil_rechr(2)	soil_rechr(3)	SWE(1)	SWE(2)	SWE(3)
27054	229.694	219.496	219.278	49.6944	39.4956	39.2782	84.7828	111.134	134.938
27054.04167	229.694	219.496	219.278	49.6944	39.4956	39.2782	84.8637	111.215	135.018
27054.08333	229.694	219.496	219.278	49.6944	39.4956	39.2782	84.9446	111.296	135.099
27054.125	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.0255	111.377	135.18
27054.16667	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.1064	111.458	135.261
27054.20833	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.1872	111.538	135.342
27054.25	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.2681	111.619	135.423
27054.29167	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.3444	111.696	135.499
27054.33333	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.2162	111.567	135.371
27054.375	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.0903	111.442	135.245
27054.41667	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.0871	111.438	135.242
27054.45833	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.1645	111.516	135.319
27054.5	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.1615	111.513	135.316
27054.54167	229.694	219.496	219.278	49.6944	39.4956	39.2782	84.9876	111.339	135.142
27054.58333	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.0287	111.38	135.183
27054.625	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.0838	111.435	135.238
27054.66667	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.1384	111.49	135.293
27054.70833	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.2192	111.57	135.374
27054.75	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.3001	111.651	135.455
27054.79167	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.381	111.732	135.536
27054.83333	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.4619	111.813	135.616
27054.875	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.5428	111.894	135.697
27054.91667	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.6236	111.975	135.778
27054.95833	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.7045	112.056	135.859
27055	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.7854	112.137	135.94
27055.04167	229.694	219.496	219.278	49.6944	39.4956	39.2782	85.9908	112.342	136.145
27055.08333	229.694	219.496	219.278	49.6944	39.4956	39.2782	86.1962	112.547	136.351
27055.125	229.694	219.496	219.278	49.6944	39.4956	39.2782	86.4016	112.753	136.556
27055.16667	229.694	219.496	219.278	49.6944	39.4956	39.2782	86.607	112.958	136.761
27055.20833	229.694	219.496	219.278	49.6944	39.4956	39.2782	86.8124	113.164	136.967
27055.25	229.694	219.496	219.278	49.6944	39.4956	39.2782	87.0177	113.369	137.172
27055.29167	229.694	219.496	219.278	49.6944	39.4956	39.2782	87.2231	113.574	137.378
27055.33333	229.694	219.496	219.278	49.6944	39.4956	39.2782	87.4285	113.78	137.583
27055.375	229.694	219.496	219.278	49.6944	39.4956	39.2782	87.6339	113.985	137.788
27055.41667	229.694	219.496	219.278	49.6944	39.4956	39.2782	87.8393	114.191	137.994
27055.45833	229.694	219.496	219.278	49.6944	39.4956	39.2782	88.0447	114.396	138.199
27055.5	229.694	219.496	219.278	49.6944	39.4956	39.2782	88.2501	114.601	138.405
27055.54167	229.694	219.496	219.278	49.6944	39.4956	39.2782	88.4555	114.807	138.61
27055.58333	229.694	219.496	219.278	49.6944	39.4956	39.2782	88.6609	115.012	138.815
27055.625	229.694	219.496	219.278	49.6944	39.4956	39.2782	88.8663	115.217	139.021
27055.66667	229.694	219.496	219.278	49.6944	39.4956	39.2782	89.0717	115.423	139.226
27055.70833	229.694	219.496	219.278	49.6944	39.4956	39.2782	89.277	115.628	139.431
27055.75	229.694	219.496	219.278	49.6944	39.4956	39.2782	89.4824	115.834	139.637
27055.79167	229.694	219.496	219.278	49.6944	39.4956	39.2782	89.6878	116.039	139.842
27055.83333	229.694	219.496	219.278	49.6944	39.4956	39.2782	89.8932	116.244	140.048
27055.875	229.694	219.496	219.278	49.6944	39.4956	39.2782	90.0986	116.45	140.253
27055.91667	229.694	219.496	219.278	49.6944	39.4956	39.2782	90.304	116.655	140.458
27055.95833	229.694	219.496	219.278	49.6944	39.4956	39.2782	90.5094	116.861	140.664
27056	229.694	219.496	219.278	49.6944	39.4956	39.2782	90.7148	117.066	140.869
27056.04167	229.694	219.496	219.278	49.6944	39.4956	39.2782	90.7561	117.107	140.91
27056.08333	229.694	219.496	219.278	49.6944	39.4956	39.2782	90.7974	117.149	140.952
