time	SWE(1)	SWE(2)	SWE(3)
units	(mm)	(mm)	(mm)
27130.125	45.5727	98.9205	329.544
27130.16667	45.6046	98.9524	329.576
27130.20833	45.6365	98.9843	329.608
27130.25	45.6684	99.0161	329.64
27130.29167	45.6684	99.0161	329.64
27130.33333	45.6684	99.0161	329.64
27130.375	45.6684	99.0161	329.64
27130.41667	45.6684	99.0161	329.64
27130.45833	45.6684	99.0161	329.64
27130.5	45.6684	99.0161	329.64
27130.54167	45.6684	99.0161	329.64
27130.58333	45.6684	99.0161	329.64
27130.625	45.6684	99.0055	329.629
27130.66667	45.6684	98.983	329.607
27130.70833	45.6684	98.9753	329.599
27130.75	45.6684	98.9658	329.589
27130.79167	45.6684	98.9567	329.58
27130.83333	45.6684	98.9534	329.577
27130.875	45.6684	98.9534	329.577
27130.91667	45.6684	98.9534	329.577
27130.95833	45.6684	98.9508	329.574
27131	38.9636	98.9482	329.572
27131.04167	38.9636	98.9456	329.569
27131.08333	38.9636	98.9456	329.569
27131.125	38.9636	98.9456	329.569
27131.16667	38.9636	98.9456	329.569
27131.20833	38.9636	98.9456	329.569
27131.25	38.9636	98.9456	329.569
27131.29167	38.9636	98.9456	329.569
27131.33333	38.9636	98.9456	329.569
27131.375	38.9636	98.9456	329.569
27131.41667	38.9636	98.9456	329.569
27131.45833	38.9636	98.9456	329.569
27131.5	38.9636	98.9456	329.569
27131.54167	38.9636	98.9456	329.569
27131.58333	38.9636	98.9456	329.569
27131.625	38.9636	98.9456	329.569
27131.66667	38.9636	98.9456	329.569
27131.70833	38.9636	98.9456	329.569
27131.75	38.9636	98.9456	329.569
27131.79167	38.9636	98.9456	329.569
27131.83333	38.9636	98.9456	329.569
27131.875	38.9636	98.9456	329.569
27131.91667	38.9636	98.9456	329.569
27131.95833	38.9636	98.9456	329.569
27132	30.902	98.9456	329.569
27132.04167	30.902	98.9456	329.569
27132.08333	30.902	98.9456	329.569
27132.125	30.902	98.9456	329.569
27132.16667	30.902	98.9456	329.569
27132.20833	30.902	98.9456	329.569
27132.25	30.902	98.9456	329.569
27132.29167	30.902	98.9456	329.569
27132.33333	30.902	98.9456	329.569
27132.375	30.902	98.9456	329.569
27132.41667	30.902	98.9456	329.569
27132.45833	30.902	98.9456	329.569
27132.5	30.902	98.9456	329.569
27132.54167	30.902	98.9456	329.569
27132.58333	30.902	98.9456	329.569
27132.625	30.902	98.9456	329.569
27132.66667	30.902	98.9456	329.569
27132.70833	30.902	98.9456	329.569
27132.75	30.902	98.9456	329.569
27132.79167	30.902	98.9456	329.569
27132.83333	30.902	98.9456	329.569
27132.875	30.902	98.9456	329.569
27132.91667	30.902	98.9456	329.569
27132.95833	30.902	98.9456	329.569
27133	23.0451	98.9456	329.569
27133.04167	23.0451	98.9456	329.569
27133.08333	23.0451	98.9456	329.569
27133.125	23.0451	98.9456	329.569
27133.16667	23.0451	98.9456	329.569
27133.20833	23.0451	98.9456	329.569
27133.25	23.0451	98.9456	329.569
27133.29167	23.0451	98.9456	329.569
27133.33333	23.0451	98.9456	329.569
27133.375	23.0451	98.9456	329.569
