time	soil_moist(1)	SWE(1)
units	(mm)	(mm)
27351.79167	375	6.76049
27351.83333	375	6.76049
27351.875	375	6.76049
27351.91667	375	6.76049
27351.95833	375	6.76049
27352	375	6.76049
27352.04167	375	6.76049
27352.08333	375	6.76049
27352.125	375	6.76049
27352.16667	375	6.76049
27352.20833	375	6.76049
27352.25	375	6.76049
27352.29167	375	6.76049
27352.33333	375	6.76049
27352.375	375	6.76049
27352.41667	375	6.76049
27352.45833	375	6.76049
27352.5	375	6.76049
27352.54167	375	6.76049
27352.58333	375	6.76049
27352.625	375	6.76049
27352.66667	375	6.76049
27352.70833	375	6.76049
27352.75	375	6.76049
27352.79167	375	6.76049
27352.83333	375	6.76049
27352.875	375	6.76049
27352.91667	375	6.76049
27352.95833	375	6.76049
27353	375	6.76049
27353.04167	375	6.76049
27353.08333	375	6.76049
27353.125	375	6.76049
27353.16667	375	6.76049
27353.20833	375	6.76049
27353.25	375	6.76049
27353.29167	375	6.76049
27353.33333	375	6.76049
27353.375	375	6.76049
27353.41667	375	6.76049
27353.45833	375	6.76049
27353.5	375	6.76049
27353.54167	375	6.76049
27353.58333	375	6.76049
27353.625	375	6.76049
27353.66667	375	6.76049
27353.70833	375	6.76049
27353.75	375	6.76049
27353.79167	375	6.76049
27353.83333	375	6.76049
27353.875	375	6.76049
27353.91667	375	6.76049
27353.95833	375	6.76049
27354	375	6.76049
27354.04167	375	6.85574
27354.08333	375	6.85574
27354.125	375	6.85574
27354.16667	375	6.85574
27354.20833	375	6.85574
27354.25	375	6.85574
27354.29167	375	6.85574
27354.33333	375	6.85574
27354.375	375	6.85574
27354.41667	375	6.85574
27354.45833	375	6.85574
27354.5	375	6.85574
27354.54167	375	6.96157
27354.58333	375	7.06741
27354.625	375	7.17324
27354.66667	375	7.27907
27354.70833	375	7.3849
27354.75	375	7.49073
27354.79167	375	7.59656
27354.83333	375	7.7024
27354.875	375	7.80823
27354.91667	375	7.91406
27354.95833	375	8.01989
27355	375	8.12572
27355.04167	375	8.12572
27355.08333	375	8.12572
27355.125	375	8.12572
27355.16667	375	8.12572
27355.20833	375	8.12572
27355.25	375	8.12572
27355.29167	375	8.12572
27355.33333	375	8.12572
27355.375	375	8.12572
27355.41667	375	8.12572
27355.45833	375	8.12572
27355.5	375	8.12572
27355.54167	375	8.12572
27355.58333	375	8.12572
27355.625	375	8.12572
27355.66667	375	8.12572
27355.70833	375	8.12572
27355.75	375	8.12572
27355.79167	375	8.12572
27355.83333	375	8.12572
27355.875	375	8.12572
27355.91667	375	8.12572
27355.95833	375	8.12572
27356	375	8.12572
27356.04167	375	8.12572
27356.08333	375	8.12572
27356.125	375	8.12572
27356.16667	375	8.12572
27356.20833	375	8.12572
27356.25	375	8.12572
27356.29167	375	8.12572
27356.33333	375	8.12572
27356.375	375	8.12572
27356.41667	375	8.12572
27356.45833	375	8.12572
27356.5	375	8.12572
27356.54167	375	8.12572
27356.58333	375	8.12572
27356.625	375	8.12572
27356.66667	375	8.12572
27356.70833	375	8.12572
27356.75	375	8.12572
27356.79167	375	8.12572
27356.83333	375	8.12572
27356.875	375	8.12572
27356.91667	375	8.12572
27356.95833	375	8.12572
27357	375	8.12572
27357.04167	375	8.12572
27357.08333	375	8.12572
27357.125	375	8.12572
27357.16667	375	8.12572
27357.20833	375	8.12572
27357.25	375	8.12572
27357.29167	375	8.12572
27357.33333	375	8.12572
27357.375	375	8.12572
27357.41667	375	8.12572
27357.45833	375	8.12572
27357.5	375	8.12572
27357.54167	375	8.12572
27357.58333	375	8.12572
27357.625	375	8.12572
27357.66667	375	8.12572
27357.70833	375	8.12572
27357.75	375	8.12572
27357.79167	375	8.12572
27357.83333	375	8.12572
27357.875	375	8.12572
27357.91667	375	8.12572
27357.95833	375	8.12572
27358	375	8.12572
27358.04167	375	8.12572
27358.08333	375	8.12572
27358.125	375	8.12572
27358.16667	375	8.12572
27358.20833	375	8.12572
27358.25	375	8.12572
27358.29167	375	8.12572
27358.33333	375	8.12572
27358.375	375	8.12572
27358.41667	375	8.12572
27358.45833	375	8.12572
27358.5	375	8.12572
27358.54167	375	8.12572
27358.58333	375	8.12572
27358.625	375	8.12572
27358.66667	375	8.12572
27358.70833	375	8.12572
27358.75	375	8.12572
27358.79167	375	8.12572
27358.83333	375	8.12572
27358.875	375	8.12572
27358.91667	375	8.12572
27358.95833	375	8.12572
27359	375	5.24828
27359.04167	375	5.24828
27359.08333	375	5.24828
27359.125	375	5.24828
27359.16667	375	5.24828
27359.20833	375	5.24828
27359.25	375	5.24828
27359.29167	375	5.24828
27359.33333	375	5.24828
27359.375	375	5.24828
27359.41667	375	5.24828
27359.45833	375	5.24828
27359.5	375	5.24828
27359.54167	375	5.24828
27359.58333	375	5.24828
27359.625	375	5.24828
27359.66667	375	5.24828
27359.70833	375	5.24828
27359.75	375	5.24828
27359.79167	375	5.24828
27359.83333	375	5.24828
27359.875	375	5.24828
27359.91667	375	5.24828
27359.95833	375	5.24828
27360	375	5.25022
27360.04167	375	5.25022
27360.08333	375	5.25022
27360.125	375	5.25022
27360.16667	375	5.25022
27360.20833	375	5.25022
27360.25	375	5.25022
27360.29167	375	5.25022
27360.33333	375	5.25022
27360.375	375	5.25022
27360.41667	375	5.25022
27360.45833	375	5.25022
27360.5	375	5.25022
27360.54167	375	5.25022
27360.58333	375	5.25022
27360.625	375	5.25022
27360.66667	375	5.25022
27360.70833	375	5.25022
27360.75	375	5.25022
27360.79167	375	5.25022
27360.83333	375	5.25022
27360.875	375	5.25022
27360.91667	375	5.25022
27360.95833	375	5.25022
27361	375	2.40921
27361.04167	375	2.40921
27361.08333	375	2.40921
27361.125	375	2.40921
27361.16667	375	2.40921
27361.20833	375	2.40921
27361.25	375	2.40921
27361.29167	375	2.40921
27361.33333	375	2.40921
27361.375	375	2.40921
27361.41667	375	2.40921
27361.45833	375	2.40921
27361.5	375	2.40921
27361.54167	375	2.40921
27361.58333	375	2.40921
27361.625	375	2.40921
27361.66667	375	2.40921
27361.70833	375	2.40921
27361.75	375	2.40921
27361.79167	375	2.40921
27361.83333	375	2.40921
27361.875	375	2.40921
27361.91667	375	2.40921
27361.95833	375	2.40921
27362	375	2.63521
27362.04167	375	2.63521
27362.08333	375	2.63521
27362.125	375	2.63521
27362.16667	375	2.63521
27362.20833	375	2.63521
27362.25	375	2.63521
27362.29167	375	2.63521
27362.33333	375	2.63521
27362.375	375	2.63521
27362.41667	375	2.63521
27362.45833	375	2.63521
27362.5	375	2.63521
27362.54167	375	2.63521
27362.58333	375	2.63521
27362.625	375	2.63521
27362.66667	375	2.63521
27362.70833	375	2.63521
27362.75	375	2.63521
27362.79167	375	2.63521
27362.83333	375	2.63521
27362.875	375	2.63521
27362.91667	375	2.63521
27362.95833	375	2.63521
27363	375	2.67172
27363.04167	375	2.67172
27363.08333	375	2.67172
27363.125	375	2.67172
27363.16667	375	2.67172
27363.20833	375	2.67172
27363.25	375	2.67172
27363.29167	375	2.67172
27363.33333	375	2.67172
27363.375	375	2.67172
27363.41667	375	2.67172
27363.45833	375	2.67172
27363.5	375	2.67172
27363.54167	375	2.67172
27363.58333	375	2.67172
27363.625	375	2.67172
27363.66667	375	2.67172
